Taxon_ID,Clean_Scientific_Name,Display_Common_Name,Family,Genus,Kingdom_Group,Public_Display_Group,Friendly_Evidence_Level,Friendly_Evidence_Label,Public_Evidence_Status,Occurrence_Evidence_Score_0_5,Public_Confidence,Beginner_Role_Sentence,Public_Function_Summary,Trophic_Mode,Guild,Growth_Form,Interaction_State,Interaction_Summary,Source_Layers_Present,MyCoPortal_Records,GBIF_BBox_Records,GBIF_Preserved_Specimens,GBIF_Human_Observations,iNaturalist_Checklist_Listed,USDA_Refined_Records,Interaction_Rows,Primary_URL,iNaturalist_Checklist_URL,Citation_Note
taxon-0034,Hymenopellis sp.,,,Hymenopellis,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618503,,MyCoPortal
taxon-0035,Inonotus sp.,,,Inonotus,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14616527,,MyCoPortal
taxon-0036,Lactarius volemus,,Russulaceae,Lactarius,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617031,,MyCoPortal
taxon-0037,Lactarius yazooensis,,Russulaceae,Lactarius,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618482,,MyCoPortal
taxon-0038,Lepiota rubrotincta,,Agaricaceae,Lepiota,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618505,,MyCoPortal
taxon-0039,Lepiota sp.,,,Lepiota,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,3,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618475,,MyCoPortal
taxon-0014,Lepista nuda,,Tricholomataceae,Lepista,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,decomposer,Saprotroph,Leaf Saprotroph,Agaricoid,No merged interaction record,,"MyCoPortal, GBIF_bbox, FUNGuild",1,2,1,1,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617811,,MyCoPortal; GBIF bbox first-pass; FUNGuild
taxon-0040,Lepista sp.,,,Lepista,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617032,,MyCoPortal
taxon-0041,Leptonia incana,,Entolomataceae,Leptonia,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,4,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617033,,MyCoPortal
taxon-0042,Leucocoprinus cepaestipes,,Agaricaceae,Leucocoprinus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618508,,MyCoPortal
taxon-0043,Marasmius sp.,,,Marasmius,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618509,,MyCoPortal
taxon-0018,Metatrichia vesparia,,Trichiaceae,Metatrichia,fungus-like organism / slime mold,Fungus-like organisms / slime molds,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,Fungus-like organism tracked separately so visitors do not confuse it with true fungi.,host-associated / possible pathogen,,,,Has merged interactions / hosts,,"USDA_BPI_refined, Interactions",0,0,0,0,,3,8,,,USDA BPI refined; Central Texas interactions
taxon-0044,Metatrichia vesparium,,Trichiaceae,Metatrichia,Protozoa,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,3,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=1799936,,MyCoPortal
taxon-0045,Mycosphaerella sentina,,Mycosphaerellaceae,Mycosphaerella,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=2892828,,MyCoPortal
taxon-0046,Omphalina sp.,,,Omphalina,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618510,,MyCoPortal
taxon-0047,Panus neostigosus,,,Panus,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618470,,MyCoPortal
taxon-0048,Peziza sp.,,,Peziza,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617035,,MyCoPortal
taxon-0049,Phellinus sp.,,,Phellinus,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14616930,,MyCoPortal
taxon-0050,Polyporus arcularius,,Polyporaceae,Polyporus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618471,,MyCoPortal
taxon-0051,Puccinia ballotaeflora,,Pucciniaceae,Puccinia,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=3562906,,MyCoPortal
taxon-0052,Russula grata,,Russulaceae,Russula,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618483,,MyCoPortal
taxon-0053,Russula sp.,,,Russula,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618484,,MyCoPortal
taxon-0054,Scleroderma sp.,,,Scleroderma,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14619411,,MyCoPortal
taxon-0008,Stereum ostrea,,Stereaceae,Stereum,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,wood decomposer; host-associated / possible pathogen,Saprotroph,Undefined Saprotroph-|Wood Saprotroph,Polyporoid,Has merged interactions / hosts,,"MyCoPortal, GBIF_bbox, FUNGuild, Interactions",1,1,0,1,,0,3,https://mycoportal.org/portal/collections/individual/index.php?occid=14617810,,MyCoPortal; GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0055,Strobilomyces confusus,,Boletaceae,Strobilomyces,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,2,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617036,,MyCoPortal
taxon-0010,Trametes hirsuta,,Polyporaceae,Trametes,True fungi / lichenized fungi,Plant disease / host-associated fungi,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,wood decomposer; host-associated / possible pathogen,Pathotroph-Saprotroph,Plant Pathogen-|Wood Saprotroph,Polyporoid,Has merged interactions / hosts,,"MyCoPortal, GBIF_bbox, FUNGuild, Interactions",1,2,0,2,,0,1,https://mycoportal.org/portal/collections/individual/index.php?occid=14618485,,MyCoPortal; GBIF bbox first-pass; FUNGuild; Central Texas interactions
taxon-0056,Trametes sp.,,,Trametes,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,2,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14616529,,MyCoPortal
taxon-0057,Tricholoma sp.,,,Tricholoma,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,2,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618472,,MyCoPortal
taxon-0058,Tropicoporus texanus,,Hymenochaetaceae,Tropicoporus,true fungus or fungal record,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,USDA_BPI_refined,0,0,0,0,,1,0,,,USDA BPI refined
taxon-0059,Uromyces terebinthi,,Pucciniaceae,Uromyces,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=2892940,,MyCoPortal
